title,price_raw,location_raw,url,description,price
Restoration Hardware couch / sofa,"$1,000",Brooklyn,https://newyork.craigslist.org/que/fuo/d/brooklyn-restoration-hardware-couch-sofa/7926018748.html,QR Code Link to This Post In like new condition hard to find restoration hardware leather couch. VERY comfortable and has a rustic country look (to me). I really don’t want to sell it. Delivery 🚚 available. Length: 94” Depth (to wall): 46” Height (back): 30”,1000
Full Length Wall Mirror,$60,Astoria,https://newyork.craigslist.org/que/fuo/d/astoria-full-length-wall-mirror/7926018632.html,"QR Code Link to This Post Size : 64"" x 21"" Finish: Silver Mirrored",60
Italian Leather Navy Sofa  - Bloomingdales,$750,Upper West Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-city-italian-leather-navy-sofa/7910244703.html,"QR Code Link to This Post Deep blue - Barely used.  Smoke free and Pet free home. Excellent Condition. Three Seater - Dark Blue color. Made in Italy - Milan. Made by Chateau D’Ax (www.Chateaudax.com) - as sold at Bloomingdales In elevator building. Easy to transport. Width: 85 inches, Height: 33, Depth: 36 inches $750 (original price $5000)",750
Silver floor lamp,$85,West Harrison,https://newyork.craigslist.org/wch/fuo/d/west-harrison-silver-floor-lamp/7915823521.html,QR Code Link to This Post 5ft Silver floor lamp like  new has a cream shade barley used.,85
Vintage Steelcase Tanker Desk,$550,Brooklyn,https://newyork.craigslist.org/que/fuo/d/brooklyn-vintage-steelcase-tanker-desk/7926018137.html,"QR Code Link to This Post Authentic vintage Steelcase tanker desk. Features: • Genuine Steelcase tanker desk (all steel construction) • Extremely sturdy and heavy - built to last • Smooth, sealed desktop surface • Clean drawers with original hardware • One-of-a-kind custom design Dimensions: 60"" W × 30"" D x 29"" H Delivery/Shipping available.",550
Contemporary Round Glass Top Cocktail Tablel,$200,Chelsea,https://newyork.craigslist.org/mnh/fuo/d/new-york-contemporary-round-glass-top/7916920178.html,"QR Code Link to This Post In great condition, beautiful and high-end Round Contemporary Glass Top Cocktail/coffee Table. Acrylic Legs & Steel frame. Selling for a fraction of retail price. Really easy to carry, both glasses come off. Elevator building. Brand: Chintaly Imports Product Dimensions 16.54""D x 39.37""W x 39.37""H Item Weight 	58.65 Pounds Frame Material: Glass, Metal Color: Clear, Chrome See link for full description: https://a.co/d/0dSvuPRz First comes first serve. $200  Cash only. tags: coffee Table / cocktail table",200
KNOLL LEATHER EXECUTIVE OFFICE CHAIR,$195,Dlv,https://newyork.craigslist.org/brk/fuo/d/brooklyn-knoll-leather-executive-office/7926011496.html,"QR Code Link to This Post Knoll leather office chair.  We have 4 available.  Designed by Richard Sapper with the following features (taken from the Knoll description)- adjustable lumbar support, forward tilt, sling suspension mechanism. Knee tilt recline mechanism. Excellent condition.  Curbside drop off available - $30.",195
Metal Wardrobe Cabinet With Hanging Rod 71” Adjustable shelves Frame H,$120,Staten Island,https://newyork.craigslist.org/stn/fuo/d/staten-island-metal-wardrobe-cabinet/7926010526.html,"QR Code Link to This Post Bought extra one paid $200.00 with fees and shipping take for 120 pick up or 150 drop off in the 5 boros. Durable Steel Construction: Crafted from robust steel, this metal armoire ensures long-lasting use and resistance to daily wear and tear. Its sturdy frame provides ample support for your belongings, making it a reliable addition to your home or office Versatile Storage Solutions: Featuring an internal hanging rod and an adjustable shelf, this wardrobe closet offers flexible storage options to accommodate a variety of items. Whether you're looking to hang clothes, store documents, or organize accessories, the adjustable design allows you to customize the space to fit your needs Convenient Bottom Drawer: The changing closet storage with door included bottom drawer offers a secure and easily accessible storage space for smaller items. Closet organizers and storage with its smooth-gliding mechanism, you can quickly retrieve or store your belongings without hassle, keeping your space organized and clutter-free Farmhouse-Style Aesthetic: The door panel of the metal wardrobe closet is designed with a charming farmhouse aesthetic, adding a touch of rustic elegance to your space. Its classic design complements a variety of decor styles, making it a versatile choice for any room Easy Assembly and Maintenance: Bedroom wardrobe closet designed with user convenience in mind, this metal wardrobe cabinet is easy to assemble and maintain. Its wipe-clean surface requires minimal upkeep, ensuring that your cabinet stays looking its best with minimal effort",120
Gorgeous Vintage Rattan Side Table,$75,Brooklyn,https://newyork.craigslist.org/brk/fuo/d/brooklyn-gorgeous-vintage-rattan-side/7918874990.html,"QR Code Link to This Post Lovely bamboo/rattan side table ready for a new home! Unique base design and hatching on the top. The top is 23” diameter and it is 19” tall. So sad to let go of this piece, but we no longer have space for it. Pick up in Bed Stuy",75
"Lady with Fan by Gustav Klimt Gold Metal Framed Canvas - 20"" x 16""",$155,Prospect Park South,https://newyork.craigslist.org/brk/fuo/d/brooklyn-lady-with-fan-by-gustav-klimt/7917529816.html,"QR Code Link to This Post Framed reproduction canvas print of iconic painter Gustav Klimt's 'Lady with Fan'. Originally painted in 1918, the exquisitely beautiful masterpiece depicts an erotic image of an unidentified radiant young woman who gazes seductively into the distance, bare-shouldered and shown half-length. In full Japonisme and Art Nouveau style, the backdrop features opulent Oriental textiles with Chinese good-fortune symbols - a Chinese phoenix, a golden pheasant, a crane, and lotus flowers - whereby the phoenix is considered the symbol of eternal life. This is Gustav Klimt last female portrait prior to his premature death in 1918 from the Spanish flu at age 55. The original painting was recently sold for $108.4 million in 2023 at Sotheby's in London. This dazzling art piece for sale is framed in a brushed metal frame in gold tone with glass front measuring approximately 20""H x 16""L x 0.75""W. Both the canvas print and metal frame are pre-owned and are in good condition overall, ready to hang. The canvas print has a couple of crease lines running diagonally across due to accidental folding while moving. It is not overly noticeable once in the frame due to the reflection from the frame glass front. The gold metal frame has very little visible wear except at the back where one of the lower arm hinges has dislodged but does not affect the overall integrity of the frame in holding the print in place. Cash and carry only.",155
